image,id,nft_rank,rarity_score,img_url,is_one_of_one,color,face,head,clothes,hands,feet,background,trait_count,color,face,head,clothes,hands,feet,background,trait_count
,0,3063,62.02,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/0,No,Blue,Bored,Warpaint,None,None,Black Gloves,Yellow,2,20.5,6.6,7.7,4.27167877,4.0,6.9,8.2,3.8
,1,5270,49.28,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/1,No,Grey,Amazed,Blue Mask,Diaper,Socks,Black Gloves,Green,4,3.6,7.8,9.5,5.042864347,7.5,6.9,5.0,4.0
,2,9679,36.43,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2,No,Grey,Angry,None,Red Shorts,Bandages,None,Grey,2,3.6,5.1,2.8,6.430868167,7.4,3.1,4.2,3.8
,3,9451,37.48,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/3,No,Red,Fearless,None,Red Shorts,Socks,None,Blue,2,4.7,3.1,2.8,6.430868167,7.5,3.1,6.0,3.8
,4,8334,41.10,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/4,No,Grey,Angry,Warpaint,Red Shorts,None,Black Gloves,Green,3,3.6,5.1,7.7,6.430868167,4.0,6.9,5.0,2.4
,5,1865,82.83,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/5,No,Brown,Amazed,Coconut,Diaper,Claws,None,Pink,3,3.8,7.8,15.6,5.042864347,7.9,3.1,37.2,2.4
,6,7654,42.97,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/6,No,Brown,Bored,None,Jeans,None,Claws,Blue,2,3.8,6.6,2.8,4.894762604,4.0,11.0,6.0,3.8
,7,4197,53.67,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/7,No,Grey,Fearless,None,Jeans,Anklet,None,Red,2,3.6,3.1,2.8,4.894762604,28.1,3.1,4.3,3.8
,8,6383,46.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/8,No,Green,Fearless,Mohawk,None,Claws,Boxing Gloves,Yellow,3,6.4,3.1,7.1,4.27167877,7.9,6.9,8.2,2.4
,9,4026,54.60,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/9,No,Blue,Laughing,None,Jeans,None,Bandages,Green,2,20.5,6.0,2.8,4.894762604,4.0,7.6,5.0,3.8
