id,nft_rank,rarity score,img_url,is_one_of_one,gender,head,clothes,hands,feet,background,trait_count
1664,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1664,Yes,Male,Lava Body,Lava Body,Lava Body,Lava Body,Special,4
2375,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2375,Yes,Male,Marshmallow Man,Marshmallow Man,Marshmallow Man,Marshmallow Man,Special,4
3113,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3113,Yes,Male,Metal Man,Metal Man,Metal Man,Metal Man,Special,4
3553,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3553,Yes,Female,Golden Fighter,Golden Fighter,Golden Fighter,Golden Fighter,Special,4
4444,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4444,Yes,Female,Rainbow Fighter,Rainbow Fighter,Rainbow Fighter,Rainbow Fighter,Special,4
5987,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5987,Yes,Female,Frozen Fighter,Frozen Fighter,Frozen Fighter,Frozen Fighter,Special,4
6331,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6331,Yes,Female,Werebear,Werebear,Werebear,Werebear,Special,4
888,1,"27,334.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/888,Yes,Male,Green Monster,Green Monster,Green Monster,Green Monster,Special,4
5126,2,"14,002.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5126,Yes,Female,Swol Brain,Swol Brain,Swol Brain,Swol Brain,Special,4
97,2,"14,002.83",QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/97,Yes,Male,Swol Brain,Swol Brain,Swol Brain,Swol Brain,Special,4
3682,3,293.33,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3682,No,Female,Rainbow Hair,Black Pants,Wrestler,Long Socks,Ring,4
4327,4,254.27,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4327,No,Female,Rainbow Hair,Jacket,Bat,Bandages,Ring,4
959,5,251.68,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/959,No,Male,Bandana,Champion Belt,Wrestler,None,UFC Ring,3
4370,6,245.59,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4370,No,Female,Rainbow Hair,Wrestling Gear,White Gloves,None,Dojo,3
5817,7,243.01,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5817,No,Female,Rainbow Hair,Black Pants,White Gloves,Bandages,Beach,4
