id,nft_rank,rarity score,img_url,is_one_of_one,gender,body,hat,glasses,mouth,clothes,background,trait_count
4579,1,"67,125.26",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/4579,Yes,Male,Irradiated,Irradiated,Irradiated,Irradiated,Irradiated,Gray,4
5093,1,"67,125.26",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5093,Yes,Male,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,Gray,4
3391,2,"67,125.17",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/3391,Yes,Male,Mojo Jojo,Mojo Jojo,Mojo Jojo,Mojo Jojo,Mojo Jojo,Red,4
0,3,"67,125.05",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/0,Yes,Male,Astronaut,Astronaut,Astronaut,Astronaut,Astronaut,Cyan,4
5203,3,"67,125.05",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5203,Yes,Male,Golden,Golden,Golden,Golden,Golden,Cyan,4
1690,4,"67,124.91",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/1690,Yes,Male,Einstein,Einstein,Einstein,Einstein,Einstein,Yellow,4
2430,4,"67,124.91",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2430,Yes,Male,Reverse,Reverse,Reverse,Reverse,Reverse,Yellow,4
224,5,"40,274.08",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/224,Yes,Male,See Through,See Through,See Through,See Through,See Through,Transparent,4
3232,5,"40,274.08",QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/3232,Yes,Male,See Through,See Through,See Through,See Through,See Through,Transparent,4
5383,6,383.85,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5383,No,Male,Pink,Gangster,Monocle,None,Pirate,Red,3
5227,7,370.69,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5227,No,Male,Pink,None,Monocle,Cigarette,Cyborg,Green,3
2179,8,339.71,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2179,No,Male,Blue,Wizard,Monocle,None,None,Yellow,2
