id,nft_rank,rarity score,img_url,is_one_of_one,base_color,spots,tire_color,window_color,tip_color,lights_color,door_color,wheel_color,background,trait_count
420,1,"76,637.51",QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/420,Yes,Coconar,Coconar,Coconar,Coconar,Coconar,Coconar,Coconar,Coconar,Sakura,7
3082,2,"76,600.88",QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3082,Yes,Palm Wheels,Palm Wheels,Palm Wheels,Palm Wheels,Palm Wheels,Palm Wheels,Palm Wheels,Palm Wheels,Night,7
4118,3,"76,599.19",QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4118,Yes,Peeled Car,Peeled Car,Peeled Car,Peeled Car,Peeled Car,Peeled Car,Peeled Car,Peeled Car,Fall,7
30,4,"76,596.73",QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/30,Yes,Moncar,Moncar,Moncar,Moncar,Moncar,Moncar,Moncar,Moncar,Jungle,7
3308,5,"9,607.16",QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3308,No,Yellow,None,None,None,None,None,None,None,Sunset,0
7241,6,524.8,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7241,No,Yellow,None,None,None,None,None,None,Black,Snow,1
1312,7,520.33,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1312,No,Yellow,None,None,None,None,Green,None,None,Night,1
3976,8,518.25,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3976,No,Yellow,None,None,None,Red,None,None,None,Night,1
5319,9,517.49,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5319,No,Yellow,None,None,None,None,Blue,None,None,Fall,1
9478,10,515.13,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9478,No,Yellow,None,None,None,None,None,Green,None,Jungle,1
8295,11,514.68,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8295,No,Yellow,Two Spots,None,None,None,None,None,None,Sunset,1
1659,12,514.38,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1659,No,Yellow,Single Spot,None,None,None,None,None,None,Night,1
4432,13,514.3,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4432,No,Rotten,None,None,None,None,Yellow,None,None,Jungle,1
3797,14,514.21,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3797,No,Yellow,Two Spots,None,None,None,None,None,None,Fall,1
4198,15,514.13,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4198,No,Yellow,None,None,None,None,None,None,Green,Sunset,1
7062,16,513.39,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7062,No,Yellow,None,None,Black,None,None,None,None,Sunset,1
7809,17,513.21,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7809,No,Yellow,None,None,Blue,None,None,None,None,Jungle,1
1550,18,513.16,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1550,No,Yellow,Single Spot,None,None,None,None,None,None,Sunset,1
6293,19,513.05,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6293,No,Yellow,None,None,None,None,None,Blue,None,Jungle,1
3466,20,511.95,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3466,No,Yellow,None,None,None,None,None,None,Blue,Night,1
9011,21,511.61,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9011,No,Yellow,None,None,None,None,None,Black,None,Jungle,1
71,22,510.46,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/71,No,Yellow,None,None,Black,None,None,None,None,Jungle,1
4392,23,510.06,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4392,No,Yellow,None,None,None,None,None,None,Black,Sunset,1
5026,24,509.6,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5026,No,Yellow,None,None,None,None,None,None,Black,Fall,1
902,25,507.13,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/902,No,Yellow,None,None,None,None,None,None,Black,Jungle,1
7672,26,231.02,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7672,No,Yellow,Magic Spot,Orange,Black,Pink,Blue,Black,Blue,Sakura,7
6467,27,222.58,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6467,No,Green,Monkey Spot,White,Pink,Red,None,Blue,Pink,Sunset,6
6702,28,210.71,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6702,No,Rotten,Monkey Spot,White,None,Pink,Cyan,None,Black,Sakura,5
3438,29,209.09,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3438,No,Yellow,Monkey Spot,Pink,Pink,Green,Yellow,Black,None,Sunset,6
1586,30,202.59,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1586,No,Yellow,Monkey Spot,Green,Black,Purple,Red,Pink,Cyan,Jungle,7
2804,31,196.39,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2804,No,Green,Big Spot,Green,Purple,Pink,Pink,Cyan,Blue,Snow,7
